id,"Q1: From a scale 1 to 5, how complex is it to make this food? (Where 1 is the most simple, and 5 is the most complex)",Q2: How many ingredients would you expect this food item to contain?,Q3: In what setting would you expect this food to be served? Please check all that apply,Q4: How much would you expect to pay for one serving of this food item?,Q5: What movie do you think of when thinking of this food item?,Q6: What drink would you pair with this food item?,"Q7: When you think about this food item, who does it remind you of?",Q8: How much hot sauce would you add to this food item?,Label,Q4
496858,3,"Typically, the simplest pizza would contain dough, water, yeast, salt, sugar, tomato sauce, and then cheese - around 7 ingredients. Sometimes, we might like to make more complex pizzas with different flavours, like adding more types of cheeses, or adding various toppings like veggies and meats, which would bump up the ingredient count. ","Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack","For one slice of pizza, I would expect about a dollar or two. But for full pizzas, the cost could range anywhere from $12 for a small to $20 for a large. And as always, depending on where you get your pizza (somewhere simple and cheap, or somewhere fancy), these prices might change. ","Home Alone! When the delivery guy delivers a cheese pizza ""Little Nero's Pizza"" through the back door for Kevin, when he gets stuck home alone! ","I love Kombucha, so maybe a mango or citrusy kombucha. Something carbonated!","Parents,Siblings,Friends,Teachers",A little (mild),Pizza,16.0
608688,2,3,"Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",$2.50 ,"Inside Out, Teenage Mutant Ninja Turtles",Soda,"Parents,Siblings,Friends,Teachers",,Pizza,2.5
604386,3,6,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party",20,Ratatouille,soft drink,"Parents,Friends",,Pizza,20.0
628559,3,"About 5

 

Minimum 3 for dough, tomato sauce, and cheese, to at most 7 for toppings.","Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack","$5

 

$15 for whole piazza)",Avengers 1,Coke,Friends,,Pizza,10.0
715152,3,7,"Weekend lunch,Weekend dinner,At a party,Late night snack",7$,"hangover, or any teen party movies which features a lot of sweet stuff.","carbonated sweet drinks, such as cocacola, pepsi, etc",Friends,,Pizza,7.0
604110,3,4,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",10,Home Alone,Coca-Cola,"Parents,Friends",,Pizza,10.0
629010,4,6,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",$4 ,Coraline,Nestea,"Parents,Friends,Teachers,Strangers",A little (mild),Pizza,4.0
605254,2,5,"Week day dinner,At a party,Late night snack",4,,Diet Coke,Friends,A moderate amount (medium),Pizza,4.0
628990,3,5,"Week day lunch,Week day dinner,At a party",$6 ,Life if Pi,Soda,"Parents,Siblings,Friends,Teachers",A little (mild),Pizza,6.0
625295,3,6,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party",$4.00 ,Home Alone,Pop,Friends,,Pizza,4.0
603415,3,4-8,"Week day lunch,Weekend lunch,At a party,Late night snack",$4-5,Home Alone,Soda,Friends,A little (mild),Pizza,4.5
635533,2,6,"Week day lunch,Late night snack",15 dollars,James Bond 007,Coke,Friends,A little (mild),Pizza,15.0
630389,1,3,"Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",20,Sam Raimi's Spider Man,Chocolate Milk,Friends,A lot (hot),Pizza,20.0
714901,4,I would expect four to ten.,"Week day lunch,Weekend lunch,At a party","For a single slice, I would pay $5. ",Cloudy with a Chance of Meatballs,Pepsi (or any soda),Friends,A moderate amount (medium),Pizza,5.0
629792,3,"7: flour, salt, yeast, water, oil, sauce, cheese","Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack","$15 (one whole pizza)

 ",the goofy movie,pop,"Parents,Siblings,Friends",,Pizza,15.0
629025,3,4,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party",5,Teenage Mutant Ninja Turtles,Soda,"Friends,Strangers",,Pizza,5.0
524441,3,6,"Week day lunch,Weekend lunch,At a party",$10 ,Teenage Mutant Ninja Turtles,Ginger ale,"Siblings,Friends",,Pizza,10.0
389109,4,8,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",18,Cloudy With a Chance of Meatballs,Canada Dry Ginger Ale,Friends,,Pizza,18.0
631216,2,5,"Week day lunch,At a party",6,A Quiet Place 2,coke,Friends,A moderate amount (medium),Pizza,6.0
738875,2,3,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",$4 ,Home alone,Milk,"Parents,Siblings,Friends,Teachers,Strangers",A little (mild),Pizza,4.0
634669,1,4,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party",$2.29 ,Carry-On,Sprite,"Parents,Siblings,Friends,Teachers",,Pizza,2.29
409940,3,6,"Week day dinner,At a party",8$,spiderman,diet coke,"Parents,Friends",A moderate amount (medium),Pizza,8.0
399605,2,5,"Week day lunch,Weekend lunch,Weekend dinner,At a party,Late night snack",5,Teenage Mutant Ninja Turtles,coke,"Parents,Friends",,Pizza,5.0
721831,4,8,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",6,Home Alone,Coke,"Parents,Siblings,Friends",,Pizza,6.0
835223,2,5,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party",4,Set it up,coke,"Friends,Strangers",A moderate amount (medium),Pizza,4.0
712938,3,5,"Week day dinner,Weekend dinner",15,Green Book,coke,Friends,,Pizza,15.0
395712,3,"5 ingredients,  bread, cheese, sauce, meat, veggies","Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party",$4 - $8,Teenage Mutant Ninja Turtles,"Pop, Coca-Cola, 7up, crush","Friends,Teachers,Strangers",A moderate amount (medium),Pizza,6.0
603388,2,about 7,"Week day lunch,At a party,Late night snack",12 cad,Garfield,Coke,Friends,A little (mild),Pizza,12.0
617774,3,3,"Week day lunch,Week day dinner,Weekend lunch,At a party",15.99-29.99,Cars,Iced tea,"Parents,Teachers",,Pizza,22.99
289440,3,5,"Week day lunch,At a party,Late night snack",4,Teenage Mutant Ninja Turtles,coke,"Friends,Strangers",A moderate amount (medium),Pizza,4.0
714503,2,3 to 4,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner",$15 ,"relaxing, comedy",cola,Friends,I will have some of this food item with my hot sauce,Pizza,15.0
714893,2,5,"Week day lunch,Weekend lunch,At a party",$5.00 ,Home Alone 2,Coke,"Siblings,Friends",A moderate amount (medium),Pizza,5.0
601094,2,"7 (flour, water, oil, yeast, sauce, cheese, topping)","Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",$6.50 ,teenage mutant ninja turtles,soda,"Siblings,Friends",,Pizza,6.5
618150,2,"5 (pizza base, sauce, cheese, topping, and oregano)","Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack","for a large pizza, $25.",Home alone,Diet coke,"Siblings,Friends",A moderate amount (medium),Pizza,25.0
607944,2,5,"Week day dinner,Weekend lunch,At a party,Late night snack",5 dollars,Spiderman,Milk,Friends,,Pizza,5.0
629844,3,4,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",$6 ,Ratatouille,Orange juice,"Parents,Siblings,Friends,Teachers",,Pizza,6.0
626482,2,5,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party",5,The Godfather,Pop,Friends,,Pizza,5.0
609257,2,5,"Week day lunch,Week day dinner,Weekend dinner,At a party,Late night snack",6$,High School Musical ,Rootbeer,"Siblings,Friends,Teachers",,Pizza,6.0
717921,3,8,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party",$4 ,Zootopia,Lemonade,"Friends,Teachers",A little (mild),Pizza,4.0
181851,4,5,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",10,,pops,Friends,A lot (hot),Pizza,10.0
629041,1,3,"Week day lunch,At a party,Late night snack",7 dollars,Home Alone,Coke,"Friends,Strangers",,Pizza,7.0
604062,4,Four to five. Also depends on the different types of pizza.,"Week day dinner,Weekend dinner,At a party,Late night snack",$15 ,"Honestly any movie, pizza is a movie food.",Some sort of soft drink.,"Siblings,Friends",I will have some of this food item with my hot sauce,Pizza,15.0
716749,3,4 or more,"Week day lunch,Late night snack",15 dollar,no,water or  lemon water,Strangers,A little (mild),Pizza,15.0
633143,3,"This food item should contain anywhere from 5-10 ingredients depending on the amount of topping you want. The key ingredients should be salt, pepper, cheese, tomato sauce, and dough (5 ingredients). ","Week day lunch,Weekend lunch,At a party,Late night snack",Around $5 per serving,Teenage Mutant Ninja Turtles,Soft drinks such as Coca-Cola,Friends,,Pizza,5.0
743828,3,10,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack", 4-6 dollars,Mario Movie,Soda Pop,"Friends,Strangers",A moderate amount (medium),Pizza,5.0
520861,3,4,"Week day lunch,Weekend lunch,At a party,Late night snack",12,ratatouille,Soda,Friends,,Pizza,12.0
517019,2,5,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party",4,30 minutes or less,pop,"Parents,Siblings,Friends,Teachers",,Pizza,4.0
626779,3,"Dough (water, flour, yeast), cheese, tomato sauce","Week day dinner,Weekend lunch,Weekend dinner,At a party",4$ for a slice,Home alone,soda,"Siblings,Friends",A little (mild),Pizza,4.0
611716,3,3,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party",7,Home alone,coke,"Parents,Siblings",,Pizza,7.0
193195,3,5,"Weekend dinner,At a party,Late night snack",$5 ,21 Jump Street,Coca Cola,"Friends,Teachers",A little (mild),Pizza,5.0
627530,2,7,"Week day lunch,Week day dinner,Weekend dinner,At a party",$10 ,Free Guy,Coca-Cola,Friends,A little (mild),Pizza,10.0
626479,2,3 or more depending on what toppings you want,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack","A slice would probably be like $5, a whole pizza maybe $15?",Spider-man? Just cause it takes place in New York...,Any type of soda,"Parents,Friends",,Pizza,10.0
624540,3,"3

sansauge, 

corn, 

sauce, 

 ","Week day lunch,Week day dinner,At a party,Late night snack",15 per person,harry poter,bubble tea,"Friends,Strangers",A moderate amount (medium),Pizza,15.0
625315,2,3-8,"Week day lunch,Week day dinner,At a party,Late night snack",$7 ,Home Alone,Soft drink,"Parents,Siblings,Friends,Teachers,Strangers",A little (mild),Pizza,7.0
601941,4,4,"Week day lunch,At a party,Late night snack",Around 15 dollar without tax,"none, stranger things is the tv series I can think of.",cococola,"Teachers,Strangers",I will have some of this food item with my hot sauce,Pizza,15.0
723968,5,"21 ingredients

 ","Week day lunch,Late night snack",within 10 dollars,Godfather,Nestea,"Friends,Teachers",,Pizza,10.0
715806,4,10,"Week day lunch,Weekend dinner,At a party",7,Soul,coke,"Parents,Siblings,Friends,Teachers",,Pizza,7.0
720045,3,8,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",5,The Godfather,Water,"Friends,Teachers",A lot (hot),Pizza,5.0
713585,5,6,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",30,Idk,Soda,"Friends,Teachers",,Pizza,30.0
611188,3,4,"Week day lunch,Week day dinner,Weekend lunch,At a party,Late night snack",7,Five Nights at Freddy’s,Ginger Ale,"Friends,Teachers",,Pizza,7.0
606726,3,10,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",16,Life is Beautiful,Orange Juice,"Friends,Strangers",,Pizza,16.0
629142,3,"I would expect this food item to contain at least 5 ingredients, but it can be more based on toppings you add.","Weekend lunch,At a party",I would expect to pay around $5 dollars for one serving of this food item.,I think of the movie Cloudy with a Chance of Meatballs.,I would pair pop with this food item.,"Parents,Teachers",,Pizza,5.0
634825,3,7,"Weekend dinner,At a party",$5 ,Cloudy with a chance of meatballs,Soda,"Parents,Friends,Teachers",,Pizza,5.0
613409,4,"flour, yeast, olive oil, salt, mozzarella cheese, and tomato sauce. So total of 8","Weekend dinner,At a party,Late night snack",8,The wicked,Coke-Cola,Friends,A moderate amount (medium),Pizza,8.0
633224,3,4,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party",$2.50 ,Home Alone,Coca Cola,Friends,,Pizza,2.5
738850,3,6,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",5,Five Nights at Freddy's,Coca Cola,"Parents,Siblings,Teachers",,Pizza,5.0
500470,4,At least 6,"Week day lunch,Weekend lunch,At a party,Late night snack",8.00 CAD,Ratatouille,Soda,Friends,,Pizza,8.0
13183,2,6,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",4,Harold & Kumar Go to White Castle,ice tea,"Parents,Friends",,Pizza,4.0
627169,2,15,"Week day lunch,Week day dinner,Weekend lunch,Late night snack",$20 ,Teenage Mutant Ninja Turtles,Coke,"Parents,Friends",A moderate amount (medium),Pizza,20.0
229041,3,5,"Week day lunch,Weekend lunch,At a party",5$,home alone,soda,"Parents,Siblings,Friends",,Pizza,5.0
496344,1,8 ingredients,"Week day lunch,At a party",3 dollar per slice,Spider Man,Coke,"Friends,Teachers",A little (mild),Pizza,3.0
409723,2,11,"Week day lunch,At a party,Late night snack",7,Home alone ,Coke,"Parents,Siblings,Teachers",,Pizza,7.0
630949,4,7,"Weekend lunch,Weekend dinner,At a party",$10 ,Lord of the Rings,Soda,"Siblings,Friends",,Pizza,10.0
413014,3,"Around 6-8, not including spices/seasoning","Week day lunch,Weekend dinner,At a party,Late night snack",5-10$ for two slices,"Something fun, like Superbad",A soda such as Coca-Cola,"Friends,Teachers",A little (mild),Pizza,7.5
310438,2,4,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party",5,Home Alone,Coke,"Siblings,Friends,Teachers",,Pizza,5.0
627430,3,4,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",10,Home Alone,Coke,"Siblings,Friends,Strangers",A little (mild),Pizza,10.0
526510,2,4,At a party,6,,cola,Strangers,,Pizza,6.0
390823,3,4,"Week day dinner,Weekend dinner,At a party,Late night snack",$5 ,The Hangover,Coke,Friends,A little (mild),Pizza,5.0
717116,2,4-8,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",about $20,Breaking Bad (not a movie),coke or diet coke,Friends,A little (mild),Pizza,20.0
712143,3,6,"Week day lunch,Week day dinner,At a party",15,Little Italy,Cola,Parents,A little (mild),Pizza,15.0
612538,4,6,"Week day lunch,Weekend dinner,At a party,Late night snack",$3 ,Toy Story,Coca Cola,"Friends,Teachers",,Pizza,3.0
627539,2,4,"Week day lunch,Weekend lunch,At a party",5$,The Mario Movie,Coca Cola,"Siblings,Friends",A moderate amount (medium),Pizza,5.0
603812,2,5,"Week day lunch,At a party,Late night snack",5 bucks,Home Alone,Root Beer,Friends,A little (mild),Pizza,5.0
740568,4,10,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party",$5 ,Little Italy,Coke,"Friends,Teachers,Strangers",,Pizza,5.0
712702,3,7,"Week day lunch,Weekend lunch,At a party",3 dollars,everything everywhere all at once,pineapple juice ,"Friends,Teachers,Strangers",,Pizza,3.0
519638,3,"7 - Flour, Water, Yeast, Olive Oil, Tomato Sauce, Cheese, Basil","Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party",$2 for a slice,Barbie,Sprite,"Parents,Friends",A little (mild),Pizza,2.0
627800,2,3-4,"Week day lunch,At a party,Late night snack",5 dollars,hitman,Soda,"Friends,Strangers",A little (mild),Pizza,5.0
406863,3,5,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",5,Teenage Mutant Ninja Turtles,coke,"Friends,Teachers",,Pizza,5.0
726962,4,10,"Week day lunch,Week day dinner,At a party",8-Feb,Spiderman,coke,Friends,,Pizza,8.0
628077,2,10,"Week day lunch,Weekend lunch,At a party,Late night snack",$5 ,Breaking Bad,Soda ,"Parents,Siblings,Friends,Teachers,Strangers",,Pizza,5.0
601693,2,6,"Week day dinner,Weekend lunch,Weekend dinner,At a party",$3 ,Mystic Pizza,Diet Coke,"Siblings,Friends",,Pizza,3.0
517096,3,3 to 4,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",$5 ,Home Alone,Coca Cola,"Siblings,Friends,Teachers",,Pizza,5.0
606821,3,5,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",$3 ,Back to the Future,Sprite,"Siblings,Friends,Strangers",,Pizza,3.0
455047,3,4,"Week day lunch,Week day dinner,Weekend dinner,At a party",6,,coke,Friends,A moderate amount (medium),Pizza,6.0
625576,3,10,"Week day lunch,Week day dinner,At a party,Late night snack",5,Liquorice Pizza,Water,"Siblings,Friends,Teachers",A little (mild),Pizza,5.0
716549,4,8,"Week day lunch,Week day dinner,At a party,Late night snack",9,The Avengers,Hot water ,Teachers,A lot (hot),Shawarma,9.0
715742,2,"Chicken, vege","Week day lunch,Week day dinner,Late night snack",8-12$,"None...

Ok tbf i think of my life at uoft, if life is a movie",lemon tea,"Friends,Strangers",,Shawarma,10.0
727333,1,3,"Week day lunch,Weekend lunch",8,action movie,water,Siblings,A little (mild),Shawarma,8.0
606874,3,10,"Week day lunch,Week day dinner,Late night snack",$10 ,The Dictator,Juice,Friends,A moderate amount (medium),Shawarma,10.0
505318,4,5-10,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,Late night snack",$8 ,Superbad,Ayran,"Parents,Siblings",A moderate amount (medium),Shawarma,8.0
605771,2,5,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",$10 ,,Water,Friends,A little (mild),Shawarma,10.0
606929,3,about three ,Weekend lunch,10 dollor,dragon,coke,Friends,A moderate amount (medium),Shawarma,10.0
609789,3,4,Week day lunch,15 dollar,Nothing,Coke,Strangers,A moderate amount (medium),Shawarma,15.0
644623,4,5,"Week day lunch,Weekend lunch",7-10 dollars,avengers,,Strangers,,Shawarma,8.5
626792,2,13,"Week day lunch,Weekend lunch",13,anjaana anjaani,water,"Friends,Teachers",A lot (hot),Shawarma,13.0
714863,2,10,"Week day lunch,Weekend lunch,Late night snack",10,none,juice,Strangers,,Shawarma,10.0
602805,3,10,"Week day lunch,Week day dinner",11 Canadian Dollars,The Avengers,Water,"Friends,Strangers",A little (mild),Shawarma,11.0
602526,4,9,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,Late night snack",$13 ,Hawkeye,orange juice,"Siblings,Friends",A little (mild),Shawarma,13.0
497421,2,"At least 3, such as pita, meat, vegetables.","Week day lunch,Weekend lunch,Late night snack",About 20-30 CAD,Argo,Coke,"Friends,Strangers",A moderate amount (medium),Shawarma,25.0
